time,Iplus_R,Iminus_R,P,rf_on
0.0,0.26773464117981205,0.08211616034666108,0.4499999999999989,1
0.0025,0.2601310988204978,0.08061929388061112,0.4498346331663663,1
0.005000000000000001,0.25276475852802666,0.0791517518627855,0.44967204269323313,1
0.007500000000000003,0.2456280245090215,0.07771294751506422,0.44951216241748293,1
0.010000000000000005,0.2387135473037842,0.07630230591747962,0.44935492792635506,1
0.012500000000000008,0.23201421573483938,0.07491926376724928,0.44920027650845706,1
0.01500000000000001,0.22552314912012894,0.07356326914272077,0.4490481471061988,1
0.017500000000000012,0.2192336897421192,0.07223378127212693,0.44889848026959656,1
0.020000000000000014,0.21313939556436845,0.07093027030705516,0.44875121811143814,1
0.022500000000000017,0.20723403318738773,0.06965221710053272,0.44860630426371595,1
0.02500000000000002,0.20151157103589643,0.06839911298963552,0.4484636838353421,1
0.02750000000000002,0.19596617276983405,0.06717045958252703,0.4483233033710828,1
0.030000000000000023,0.19059219091174678,0.06596576854983718,0.44818511081166074,1
0.03250000000000002,0.18538416068340846,0.06478456142029301,0.4480490554550395,1
0.035000000000000024,0.18033679404477518,0.06362636938051416,0.4479150879187972,1
0.037500000000000026,0.17544497392859779,0.06249073307888785,0.44778316010359437,1
0.04000000000000003,0.17070374866424212,0.0613772024334405,0.4476532251576978,1
0.04250000000000003,0.16610832658447694,0.06028533644362448,0.44752523744251677,1
0.04500000000000003,0.16165407080919664,0.05921470300593978,0.44739915249913353,1
0.047500000000000035,0.15733649420024837,0.05816487873331274,0.4472749270158012,1
0.05000000000000004,0.1531512544817214,0.057135448778154505,0.447152518796353,1
0.05250000000000004,0.14909414952024833,0.05612600665902509,0.4470318867295494,1
0.05500000000000004,0.1451611127600445,0.055136154090828435,0.4469129907592772,1
0.057500000000000044,0.14134820880758892,0.05416550081846731,0.4467957918556039,1
0.060000000000000046,0.13765162916101512,0.0532136644538866,0.44668025198668204,1
0.06250000000000004,0.13406768807944952,0.052280270316436554,0.4465663340914244,1
0.06500000000000004,0.13059281858768482,0.05136495127648796,0.4464540020529881,1
0.06750000000000005,0.12722356861173617,0.0504673476022326,0.4463432206729917,1
0.07000000000000005,0.12395659724096739,0.049587106809604285,0.44623395564648327,1
0.07250000000000005,0.12078867111262537,0.048723883515257124,0.44612617353761513,1
0.07500000000000005,0.11771666091474915,0.04787733929253748,0.4460198417560112,1
0.07750000000000005,0.11473753800356332,0.04704714253039005,0.44591492853379777,1
0.08000000000000006,0.11184837113158466,0.04623296829513685,0.44581140290331156,1
0.08250000000000006,0.10904632328280296,0.045434498195071296,0.4457092346754029,1
0.08500000000000006,0.106328648611412,0.044651420247809534,0.44560839441839095,1
0.08750000000000006,0.10369268948068652,0.04388342875034293,0.4455088534375875,1
0.09000000000000007,0.10113587359871119,0.04313022415173638,0.44541058375541454,1
0.09250000000000007,0.09865571124777751,0.042391512928418924,0.4453135580920816,1
0.09500000000000007,0.09624979260437021,0.04166700746201294,0.44521774984680385,1
0.09750000000000007,0.09391578514676413,0.040956425919651054,0.44512313307955675,1
0.10000000000000007,0.09165143114735311,0.04025949213672931,0.4450296824933355,1
0.10250000000000008,0.08945454524692753,0.03957593550204691,0.4449373734169336,1
0.10500000000000008,0.08732301210820625,0.038905490845284475,0.4448461817881745,1
