time,Iplus_norm_offset_0.000,Iplus_norm_offset_0.060,Iplus_norm_offset_0.140,Iplus_norm_offset_0.280,P
0.0,1.0,1.0,1.0,1.0,0.4499999999999989
0.002,0.988060342114476,0.9928761370904213,0.9986794064234363,0.9998117265336918,0.4498459251056918
0.004,0.9762633960337744,0.9858031027106056,0.9973605688545771,0.9996234897516038,0.44969302136257416
0.006000000000000002,0.9646074559555112,0.9787805341992977,0.9960434849582704,0.9994352896465749,0.44954127747997075
0.008000000000000004,0.9530908364663778,0.9718080714828291,0.9947281524024687,0.9992471262114462,0.449390682283559
0.010000000000000005,0.9417118722984349,0.9648853570566545,0.9934145688582275,0.9990589994390596,0.4492412247141141
0.012000000000000007,0.9304689180883208,0.9580120359670211,0.9921027319996968,0.9988709093222583,0.44909289382629675
0.014000000000000009,0.9193603481393346,0.9511877557927707,0.9907926395041218,0.998682855853887,0.4489456787874303
0.01600000000000001,0.9083845561863648,0.9444121666272643,0.9894842890518348,0.9984948390267924,0.44879956887630046
0.018000000000000013,0.8975399551636303,0.937684921060449,0.988177678326254,0.9983068588338223,0.4486545534819739
0.020000000000000014,0.8868249769751929,0.931005674161037,0.9868728050138782,0.9981189152678253,0.44851062210260817
0.022000000000000016,0.8762380722682146,0.9243740834588259,0.9855696668042814,0.9979310083216517,0.44836776434431025
0.024000000000000018,0.865777710208928,0.917789808927134,0.9842682613901119,0.9977431379881533,0.44822596991997293
0.02600000000000002,0.8554423782612798,0.9112525129653695,0.9829685864670851,0.9975553042601835,0.4480852286481408
0.02800000000000002,0.8452305819682221,0.9047618603817179,0.9816706397339803,0.9973675071305969,0.44794553045188645
0.030000000000000023,0.8351408447356207,0.8983175183759574,0.9803744188926387,0.9971797465922494,0.44780686535770053
0.03200000000000002,0.8251717076187406,0.8919191565223927,0.9790799216479558,0.9969920226379978,0.447669223494389
0.03400000000000002,0.8153217291112885,0.8855664467529135,0.97778714570788,0.996804335260702,0.4475325950919796
0.036000000000000025,0.8055894849369747,0.8792590633401751,0.9764960887834078,0.9966166844532216,0.4473969704806615
0.03800000000000003,0.7959735678435658,0.8729966828808944,0.9752067485885793,0.9964290702084183,0.44726234008969984
0.04000000000000003,0.786472587399401,0.8667789842792689,0.9739191228404748,0.9962414925191552,0.44712869444639974
0.04200000000000003,0.777085169792339,0.8606056487305128,0.9726332092592102,0.9960539513782962,0.4469960241750558
0.04400000000000003,0.767809957631109,0.8544763597045113,0.9713490055679329,0.9958664467787075,0.4468643199959216
0.046000000000000034,0.7586456097490353,0.8483908029295888,0.9700665094928186,0.995678978713256,0.44673357272419556
0.048000000000000036,0.7495908010101092,0.8423486663763967,0.9687857187630665,0.9954915471748098,0.4466037732690099
0.05000000000000004,0.7406442221173766,0.8363496402419144,0.9675066311108955,0.9953041521562399,0.44647491263243033
0.05200000000000004,0.7318045794236178,0.8303934169335638,0.9662292442715407,0.9951167936504165,0.4463469819084781
0.05400000000000004,0.7230705947442903,0.824479691053438,0.9649535559832485,0.9949294716502128,0.44621997228214355
0.05600000000000004,0.714441005172707,0.8186081593826418,0.9636795639872732,0.994742186148503,0.44609387502843256
0.058000000000000045,0.7059145628974218,0.8127785208657459,0.9624072660278723,0.9945549371381622,0.4459686815114033
0.060000000000000046,0.6974900350218013,0.8069904765953493,0.9611366598523036,0.9943677246120683,0.4458443831832227
0.06200000000000005,0.6891662033857506,0.8012437297967534,0.9598677432108199,0.9941805485630983,0.4457209715832416
0.06400000000000004,0.6809418643895708,0.7955379858127453,0.958600513856666,0.9939934089841324,0.44559843833705787
0.06600000000000004,0.6728158288199227,0.7898729520884898,0.9573349695460757,0.9938063058680519,0.4454767751556111
0.06800000000000005,0.6647869216778677,0.7842483381565288,0.956071108038265,0.9936192392077388,0.4453559738342795
0.07000000000000005,0.6568539820089682,0.7786638556218876,0.9548089270954305,0.9934322089960771,0.4452360262519769
0.07200000000000005,0.6490158627354166,0.7731192181472879,0.9535484244827437,0.9932452152259521,0.4451169243702806
0.07400000000000005,0.6412714304901698,0.7676141414384666,0.952289597968349,0.9930582578902502,0.4449986602325495
0.07600000000000005,0.6336195654530691,0.7621483432295973,0.9510324453233584,0.9928713369818598,0.4448812259630547
0.07800000000000006,0.6260591611889164,0.756721543268819,0.9497769643218478,0.9926844524936701,0.4447646137661362
0.08000000000000006,0.6185891244874859,0.751333463303868,0.9485231527408527,0.9924976044185709,0.4446488159253408
0.08200000000000006,0.6112083752054511,0.7459838270678065,0.9472710083603667,0.9923107927494558,0.44453382480259973
0.08400000000000006,0.6039158461101976,0.7406723602648598,0.9460205289633331,0.9921240174792177,0.44441963283738833
0.08600000000000006,0.5967104827255039,0.735398790556354,0.9447717123356454,0.9919372786007518,0.44430623254591334
0.08800000000000006,0.5895912431790689,0.7301628475467477,0.9435245562661397,0.9917505761069544,0.4441936165202991
0.09000000000000007,0.5825570980518576,0.7249642627697704,0.942279058546594,0.9915639099907231,0.4440817774277882
0.09200000000000007,0.5756070302292515,0.7198027696746584,0.941035216971722,0.9913772802449569,0.44397070800994765
0.09400000000000007,0.5687400347539774,0.714678103612485,0.9397930293391704,0.9911906868625562,0.4438604010818815
0.09600000000000007,0.5619551186807916,0.7095900018225924,0.9385524934495144,0.991004129836423,0.44375084953145916
0.09800000000000007,0.5552513009329038,0.7045382034191179,0.9373136071062534,0.9908176091594604,0.44364204631854637
0.10000000000000007,0.5486276121601149,0.6995224493776181,0.936076368115809,0.9906311248245733,0.44353398447424086
0.10200000000000008,0.5420830945986542,0.6945424825217882,0.9348407742875184,0.990444676824668,0.44342665710013235
0.10400000000000008,0.5356168019326862,0.689598047510274,0.9336068234336339,0.9902582651526511,0.4433200573675453
0.10600000000000008,0.5292277991574796,0.6846888908235805,0.932374513369315,0.9900718898014315,0.44321417851681744
0.10800000000000008,0.5229151624442042,0.6798147607510727,0.9311438419126277,0.9898855507639203,0.4431090138565628
0.11000000000000008,0.5166779790063512,0.6749754073780698,0.9299148068845398,0.9896992480330283,0.4430045567629586
0.11200000000000009,0.5105153469677448,0.6701705825730312,0.9286874061089168,0.9895129816016689,0.4429008006790324
0.11400000000000009,0.5044263752321342,0.665400039974832,0.9274616374125167,0.9893267514627562,0.4427977391139547
0.11600000000000009,0.4984101833543439,0.6606635349801341,0.926237498624989,0.9891405576092057,0.44269536564234535
0.11800000000000009,0.49246590141296315,0.6559608247308409,0.9250149875788689,0.9889544000339348,0.44259367390358895
0.12000000000000009,0.48659266988455674,0.6512916681016484,0.9237941021095731,0.9887682787298614,0.44249265760114775
0.1220000000000001,0.4807896395193836,0.6466558256876801,0.9225748400553984,0.9885821936899061,0.4423923105018865
0.1240000000000001,0.4750559712185937,0.6420530597922112,0.9213571992575148,0.9883961449069901,0.4422926264354187
0.12600000000000008,0.46939083591289943,0.637483134414482,0.9201411775599638,0.9882101323740357,0.4421935992934285
0.12800000000000009,0.4637934144426931,0.6329458152375965,0.9189267728096543,0.9880241560839667,0.4420952230290347
0.1300000000000001,0.4582628974395992,0.6284408696165088,0.9177139828563569,0.9878382160297084,0.44199749165613134
0.1320000000000001,0.45279848520944244,0.6239680665660936,0.9165028055527027,0.9876523122041885,0.44190039924876257
