time,Iplus_at_R,Iminus_at_R,P,Q,rf_on,dnp_on
0.0,0.1458999499554969,0.3241234098006072,0.4499999999999989,0.158125954360613,0,0
0.0015,0.1458999499554969,0.3241234098006072,0.4499999999999989,0.158125954360613,0,0
0.013499999999999998,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.025500000000000005,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.03750000000000001,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.04950000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.061500000000000034,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.07350000000000004,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.08550000000000005,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.09750000000000006,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.10950000000000007,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.12150000000000008,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.1335000000000001,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.1455000000000001,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.1575000000000001,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.16950000000000012,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.18150000000000013,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.19350000000000014,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.20550000000000015,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.21750000000000017,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.22950000000000018,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.2415000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.25350000000000017,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.2655000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.2775000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.2895000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.3015000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
0.3135000000000002,0.1458999499554969,0.3241234098006072,0.44999999999999885,0.15812595436061302,0,0
